x,Cf,Cf_theory
0.0360373,0.00052141,0.000570424
0.03632,0.000504535,0.0005682
0.0366026,0.000621079,0.000566002
0.0368852,0.000443731,0.00056383
0.0371679,0.000688685,0.000561682
0.0374505,0.000743861,0.000559558
0.0377332,0.000773721,0.000557458
0.0380158,0.000715791,0.000555382
0.0382985,0.000492474,0.000553329
0.0385811,0.000693752,0.000551298
0.0388638,0.000527734,0.00054929
0.0391464,0.000631224,0.000547303
0.0394291,0.000488171,0.000545338
0.0397117,0.000669526,0.000543394
0.0399943,0.000519866,0.000541471
0.040277,0.000489761,0.000539567
0.0405596,0.000517846,0.000537684
0.0408333,6.74613e-05,0.000535879
0.0408423,0.000666138,0.00053582
0.0411249,0.000488367,0.000533976
0.0414076,0.000638738,0.00053215
0.0416902,0.00088044,0.000530343
0.0419729,0.000785354,0.000528555
0.0422555,0.000650083,0.000526784
0.0425382,0.000551098,0.000525031
0.0428208,0.000803825,0.000523295
0.0431034,0.000529496,0.000521577
0.0433861,0.000638028,0.000519875
0.0436687,0.000448525,0.00051819
0.0439514,0.000607765,0.000516521
0.044234,0.000514981,0.000514868
0.0445167,0.000407007,0.000513231
0.0447993,0.000507449,0.000511609
0.045082,0.000634764,0.000510003
0.0453646,0.00048645,0.000508412
0.0456473,0.000664164,0.000506835
0.0459299,0.000465291,0.000505273
0.0462125,0.000635858,0.000503726
0.0464952,0.000501187,0.000502192
0.0467778,0.000696457,0.000500673
0.0470605,0.000503542,0.000499167
0.0473431,0.000690816,0.000497675
0.0476258,0.000759494,0.000496196
0.0479084,0.000704638,0.00049473
0.0481911,0.000724245,0.000493277
0.0484737,0.000944469,0.000491837
0.0487564,0.00066077,0.000490409
0.049039,0.00048353,0.000488994
0.0491667,4.18469e-05,0.000488359
0.0493217,0.000633267,0.000487591
0.0496043,0.000511424,0.0004862
0.0498869,0.000699632,0.00048482
0.0501696,0.00050992,0.000483453
0.0504522,0.000601939,0.000482096
0.0507349,0.000438247,0.000480752
0.0510175,0.000598923,0.000479418
0.0513002,0.000484805,0.000478096
0.0515828,0.000689601,0.000476784
0.0518655,0.000520995,0.000475483
0.0521481,0.000653099,0.000474193
0.0524308,0.000460713,0.000472913
0.0527134,0.00066296,0.000471643
0.052996,0.000533222,0.000470384
0.0532787,0.00048715,0.000469135
0.0535613,0.000473862,0.000467895
0.053844,0.000658493,0.000466665
0.0541266,0.000489568,0.000465445
0.0544093,0.000607639,0.000464235
0.0546919,0.000476053,0.000463034
0.0549746,0.000586017,0.000461842
0.0552572,0.000486267,0.000460659
0.0555399,0.000654401,0.000459485
0.0558225,0.000471394,0.000458321
0.0561051,0.000416795,0.000457165
0.0563878,0.000470494,0.000456018
0.0566704,0.000653927,0.000454879
0.0569531,0.00048634,0.000453749
0.0572357,0.000605607,0.000452627
0.0575,6.20408e-05,0.000451586
0.0575184,0.000473051,0.000451514
0.057801,0.00058085,0.000450408
0.0580837,0.000622119,0.000449311
0.0583663,0.00052517,0.000448222
0.058649,0.000634343,0.000447141
0.0589316,0.000517007,0.000446067
0.0592142,0.000692694,0.000445001
0.0594969,0.000491583,0.000443943
0.0597795,0.000405569,0.000442892
0.0600622,0.000565409,0.000441849
0.0603448,0.000690108,0.000440813
0.0606275,0.00069475,0.000439784
0.0609101,0.00047248,0.000438762
0.0611928,0.000653079,0.000437748
0.0614754,0.000471373,0.00043674
0.0617581,0.000692161,0.00043574
0.0620407,0.000671307,0.000434746
0.0623233,0.000580457,0.000433759
0.062606,0.000830809,0.000432779
0.0628886,0.000548354,0.000431805
0.0631713,0.000687868,0.000430838
0.0634539,0.000501515,0.000429878
0.0637366,0.000584905,0.000428923
0.0640192,0.000475397,0.000427976
0.0643019,0.000431491,0.000427034
0.0645845,0.000563787,0.000426098
0.0648672,0.000642785,0.000425169
0.0651498,0.000523103,0.000424246
0.0654324,0.000575843,0.000423329
0.0657151,0.000574316,0.000422417
0.0658333,4.01166e-05,0.000422038
0.0659977,0.000642283,0.000421512
0.0662804,0.000518701,0.000420612
0.066563,0.000568543,0.000419718
0.0668457,0.000567076,0.00041883
0.0671283,0.000836472,0.000417947
0.067411,0.000637515,0.00041707
